start,end,days,sign,avg_abs_pos,trade_return_pct
2021-07-07,2021-08-10,25,1,1.76,-2.5406072839125335
2021-08-17,2021-08-25,7,1,1.0,-1.239333308729843
2021-08-31,2021-09-07,6,1,1.0,-0.8332686081850733
2021-09-15,2021-09-16,2,1,1.0,-0.73957622127542
2021-09-24,2021-11-05,31,-1,1.967741935483871,-3.537056852483935
2021-11-12,2021-11-26,11,-1,1.0,-1.2231467464354582
2022-01-04,2022-03-01,41,-1,2.097560975609756,0.5492832950319197
2022-03-10,2022-07-01,82,-1,1.548780487804878,25.127026326743035
2022-07-11,2022-07-22,10,-1,1.0,-3.599181831618072
2022-08-18,2022-11-15,64,-1,1.65625,12.713355109434083
2022-11-22,2022-11-25,4,-1,1.0,-1.0717839309748851
2022-12-22,2023-01-06,12,-1,1.0,-1.7275605444266295
2023-02-08,2023-03-13,24,-1,1.5416666666666667,-5.594332098326158
2023-05-22,2023-11-08,123,-1,1.5934959349593496,11.502292063434467
2023-11-13,2023-11-14,2,-1,1.0,-2.880330943999918
2023-12-15,2024-01-04,15,1,1.0,-1.2209838646003741
2024-01-15,2024-01-16,2,1,1.0,-1.5001863490087635
2024-02-01,2024-02-02,2,1,1.0,-2.1251204935674504
2024-02-13,2024-03-05,16,-1,1.0,-2.13175920408964
2024-03-15,2025-04-03,275,-1,1.0,-4.277835958970092
2025-04-10,2025-04-15,4,-1,1.0,-0.9797935174728896
2025-05-13,2025-05-27,11,-1,1.0,-1.1463476395034495
2025-06-25,2025-07-03,7,1,1.0,-0.9246760547123941
2025-07-16,2025-07-21,4,-1,1.0,-1.0816979661567778
2025-08-04,2025-08-18,11,1,1.0,-1.7759550631281622
2025-08-25,2025-09-25,24,1,1.375,-0.8462136114038774
2025-10-02,2025-10-30,21,1,1.5238095238095237,-1.9119208242480696
2025-11-24,2025-12-04,9,1,1.4444444444444444,-2.6656607384025044
2025-12-10,2025-12-17,6,-1,1.0,-0.305535743629782
2026-01-05,2026-01-07,3,-1,1.0,-0.17653132826091741
2026-01-13,2026-01-14,2,-1,1.0,-0.6136012889440068
2026-01-19,2026-02-06,15,-1,1.9333333333333333,-1.5961533029438173
2026-02-11,2026-03-06,18,1,1.7222222222222223,-0.0064171260404826125
2026-03-13,2026-04-03,16,-1,1.3125,-0.4633041377746182
