start,end,days,sign,avg_abs_pos,trade_return_pct
2009-05-22,2009-07-02,30,-1,14.566666666666666,0.960691678332661
2009-07-03,2009-07-17,11,1,6.818181818181818,-1.53049886947074
2009-07-20,2009-07-21,2,-1,2.0,-0.04503442677534099
2009-07-22,2009-07-23,2,1,2.0,-0.14189591295968862
2009-07-24,2009-08-13,15,-1,5.466666666666667,-1.1889304218177283
2009-08-17,2009-12-15,87,1,18.724137931034484,-5.238648166358299
2009-12-18,2009-12-21,2,1,4.0,-0.3885513773243968
2009-12-22,2010-01-14,18,-1,13.333333333333334,-0.9420593174732578
2010-01-15,2010-03-25,50,1,17.38,-4.7972634251977215
2010-03-26,2010-04-12,12,-1,8.0,-0.8048661855152313
2010-04-14,2010-12-01,166,1,33.897590361445786,22.76499331268006
2010-12-03,2011-02-25,61,-1,11.770491803278688,-1.0995434365691457
2011-03-01,2011-03-03,3,1,2.6666666666666665,-0.3535336198702743
2011-03-04,2011-03-10,5,-1,6.4,-0.4833595504712937
2011-03-11,2011-03-25,11,1,14.636363636363637,-2.3497924097346288
2011-03-29,2011-04-15,14,-1,7.571428571428571,-0.9090404421181006
2011-04-18,2012-03-14,238,1,33.07142857142857,26.548647140124643
2012-03-15,2012-03-27,9,-1,12.0,-1.704145674914124
2012-03-28,2012-08-15,101,1,38.12871287128713,14.054927422552515
2012-08-17,2012-08-22,4,-1,5.0,-0.4125540836970422
2012-08-23,2012-10-18,41,1,22.097560975609756,-4.643303409100092
2012-10-19,2012-10-24,4,-1,2.0,0.15830307437159574
2012-10-29,2012-12-18,37,1,24.35135135135135,-2.843498345939389
2012-12-19,2012-12-26,6,-1,7.0,-0.21307347765270412
2012-12-28,2013-01-03,5,1,10.6,-1.8199727949561102
2013-01-04,2013-01-15,8,-1,12.0,-0.8489307047803785
2013-01-16,2013-01-25,8,1,3.875,-0.343269999898439
2013-01-28,2013-02-22,20,-1,9.85,-1.2424953583154987
2013-02-25,2013-03-08,10,1,21.3,-3.7639051094303664
2013-03-11,2013-03-18,6,-1,8.833333333333334,-1.0041283884274625
2013-03-19,2013-05-13,40,1,35.775,-0.07944331981440295
2013-05-15,2013-05-16,2,-1,6.0,-0.3807120220451576
2013-05-17,2013-05-20,2,1,1.0,0.3391988166745521
2013-05-21,2013-09-19,88,-1,28.045454545454547,1.7936218485079394
2013-09-23,2013-10-15,17,1,9.235294117647058,-0.2886796645508523
2013-10-17,2013-11-08,17,1,16.235294117647058,-0.9835426572401464
2013-11-11,2013-11-14,4,-1,5.75,-0.815227483604821
2013-11-15,2013-11-21,5,1,3.4,-0.23236408108819262
2013-11-27,2013-12-02,4,1,4.0,-0.2555980092773919
2013-12-03,2014-01-13,30,-1,23.166666666666668,-1.5249937768716273
2014-01-16,2014-01-23,6,-1,1.1666666666666667,-0.05443365257581998
2014-01-24,2014-03-07,31,1,14.774193548387096,-1.3321037092348802
2014-03-11,2014-03-12,2,-1,2.0,-0.0745939105415023
2014-03-14,2014-03-19,4,1,13.25,-1.621301735281005
2014-03-21,2014-04-10,15,-1,5.8,-1.044688718076276
2014-04-11,2014-04-21,7,1,17.857142857142858,-2.899625995897292
2014-04-23,2014-04-25,3,-1,3.0,-0.03653858914924335
2014-05-01,2014-09-10,95,1,24.94736842105263,-3.820246882760378
2014-09-12,2014-09-25,10,-1,12.7,-0.7743472952189192
2014-09-26,2015-02-17,103,1,31.184466019417474,4.100730168039666
2015-02-18,2015-02-24,5,-1,2.0,0.2557859426909955
2015-02-25,2015-03-06,8,1,6.25,-1.2449578840100368
2015-03-09,2015-03-12,4,-1,4.75,-0.3371997135101863
2015-03-13,2015-05-01,36,1,22.61111111111111,-1.8640973297418382
2015-05-05,2015-05-26,16,-1,7.8125,-0.3238180769500617
2015-05-27,2015-06-02,5,1,6.2,-0.7756379419352201
2015-06-03,2015-06-19,13,-1,16.53846153846154,-2.125878023223818
2015-06-22,2015-06-22,1,1,1.0,0.49633119993526337
2015-06-23,2015-07-06,10,-1,5.1,-0.4358223620804697
2015-07-07,2015-07-13,5,1,7.2,-1.7416392362078148
2015-07-14,2015-07-23,8,-1,3.25,-0.18217248420934312
2015-07-24,2015-11-02,72,1,18.77777777777778,-2.2643301817380266
2015-11-03,2015-11-26,18,-1,15.5,-1.0549614973870873
2015-12-02,2015-12-03,2,1,10.0,-1.0913929975164798
2015-12-04,2015-12-09,4,-1,5.5,-0.08368130781356604
2015-12-14,2015-12-16,3,1,5.333333333333333,-0.5658099303791396
2015-12-17,2015-12-21,3,-1,5.666666666666667,-0.18833773689937672
2015-12-24,2016-01-06,10,-1,4.8,-0.7357738832460634
2016-01-07,2016-03-11,47,1,35.57446808510638,7.686851634877735
2016-03-14,2016-03-16,3,-1,2.0,-0.08610901087773198
2016-03-17,2016-04-26,29,1,22.724137931034484,-1.4768439704192287
2016-04-28,2016-09-13,99,1,20.696969696969695,-3.7624170159629866
2016-09-14,2016-09-21,6,-1,2.8333333333333335,-0.009056401767404958
2016-09-22,2016-10-05,10,1,17.4,-2.645417793714529
2016-10-06,2016-10-21,12,-1,9.083333333333334,-0.6682200170743506
2016-10-27,2016-11-04,7,-1,12.428571428571429,-1.1452207494086073
2016-11-07,2016-11-08,2,1,2.0,0.250039717866008
2016-11-09,2017-03-27,99,-1,31.86868686868687,3.0549328310381085
2017-03-28,2017-05-08,30,1,12.033333333333333,-0.9498878031705824
2017-05-09,2017-05-15,5,-1,7.0,-0.5404181443617754
2017-05-17,2017-06-30,33,1,24.272727272727273,-1.073068360582521
2017-07-03,2017-07-18,12,-1,16.083333333333332,-1.5397436145859147
2017-07-19,2017-09-18,44,1,19.545454545454547,-0.29344462676046984
2017-09-20,2018-05-29,180,-1,39.333333333333336,10.478882840395038
2018-05-30,2018-06-04,4,1,8.0,0.010429115853271442
2018-06-05,2018-06-27,17,-1,15.882352941176471,-1.1874548608295723
2018-06-28,2018-07-10,9,1,2.0,0.03825673857566177
2018-07-11,2018-08-10,23,-1,20.869565217391305,-1.8148713478804155
2018-08-13,2018-08-28,12,1,9.666666666666666,-0.42605745665123884
2018-08-29,2018-11-16,58,-1,33.48275862068966,-0.5457517360229645
2018-11-19,2019-09-16,216,1,42.773148148148145,31.925433013745554
2019-09-17,2019-09-19,3,-1,1.0,0.039286920696523994
2019-09-20,2019-10-29,28,1,20.321428571428573,-3.9512684603726314
2019-10-30,2019-10-31,2,-1,1.0,0.08962251336492821
2019-11-01,2019-11-08,6,1,6.0,-0.8874247175327521
2019-11-11,2019-11-18,6,-1,8.833333333333334,-0.9280829223706073
2019-11-19,2019-12-17,21,1,7.0476190476190474,-0.9793467488574382
2019-12-18,2020-01-03,13,-1,9.461538461538462,-1.0754945121565027
2020-01-06,2020-10-22,209,1,33.26794258373206,23.151236152081918
2020-10-23,2020-10-27,3,-1,3.0,-0.20265149494913737
2020-10-28,2020-11-03,5,1,8.0,-0.717066293571121
2020-11-04,2020-11-04,1,-1,4.0,0.07652442384327415
2020-11-05,2020-11-09,3,1,11.0,-1.2441555970960656
2020-11-10,2020-11-17,6,-1,8.5,-1.310076094468257
2020-11-19,2020-12-02,10,1,7.5,-0.6036514268830201
2020-12-03,2020-12-10,6,-1,2.6666666666666665,0.028938693782104508
2020-12-11,2021-01-06,19,1,10.0,-1.3435524815929525
2021-01-07,2021-01-26,14,-1,24.428571428571427,-2.9382191439529834
2021-01-27,2021-02-02,5,1,3.6,-0.19259554533740914
2021-02-03,2021-06-08,90,-1,31.72222222222222,12.501813352143174
2021-06-09,2021-06-16,6,1,13.666666666666666,-2.5820170079470146
2021-06-17,2021-07-02,12,-1,5.833333333333333,-0.011450653519771592
2021-07-05,2021-09-17,55,1,19.727272727272727,-4.0990657347471275
2021-09-20,2021-09-22,3,-1,1.6666666666666667,0.2692617845105826
2021-09-24,2021-11-30,48,-1,28.5625,-3.2326922004805283
2021-12-01,2021-12-08,6,1,5.833333333333333,-0.7515707364276969
2021-12-09,2021-12-16,6,-1,3.5,-0.27570188106728355
2021-12-17,2021-12-23,5,1,4.4,-0.29648930653827793
2021-12-24,2022-07-28,155,-1,32.71612903225807,23.780982229672794
2022-07-29,2022-08-05,6,1,6.0,-0.9573477513352128
2022-08-08,2022-12-01,84,-1,32.01190476190476,20.03841410288738
2022-12-05,2022-12-05,1,1,2.0,-0.004021708761734332
2022-12-08,2022-12-09,2,1,1.0,-0.0504581982698356
2022-12-12,2023-01-12,24,-1,13.958333333333334,-3.6906971759073244
2023-01-13,2023-01-27,11,1,4.2727272727272725,-0.024647848228015176
2023-01-30,2023-02-02,4,-1,2.75,-0.45024758306272356
2023-02-03,2023-02-03,1,1,2.0,0.21073566074033212
2023-02-06,2023-03-15,28,-1,31.392857142857142,-5.6941403609370065
2023-03-16,2023-04-17,23,1,6.391304347826087,-1.631508578137463
2023-04-18,2023-04-25,6,-1,5.0,-0.7700348855345904
2023-04-26,2023-05-01,4,1,2.5,-0.05977849039652752
2023-05-02,2023-05-02,1,-1,1.0,0.2188730965742286
2023-05-04,2023-05-16,9,1,5.111111111111111,-0.9246993163531708
2023-05-17,2023-11-29,141,-1,30.93617021276596,12.260895739299528
2023-11-30,2024-01-18,36,1,13.38888888888889,-1.5269306406026826
2024-01-19,2024-01-30,8,-1,5.125,-0.337544257206719
2024-01-31,2024-02-05,4,1,10.75,-3.4772496903345345
2024-02-06,2024-03-07,23,-1,14.434782608695652,-0.43223639996250895
2024-03-08,2024-03-13,4,1,4.5,-0.5154874119479355
2024-03-14,2025-04-03,276,-1,12.231884057971014,-3.5227243927312344
2025-04-07,2025-04-07,1,1,1.0,-0.00044602568786497186
2025-04-09,2025-04-28,14,-1,5.142857142857143,-1.077731443344602
2025-04-29,2025-05-05,5,1,5.6,-0.9058594274746645
2025-05-06,2025-06-04,22,-1,11.545454545454545,-0.609262970563644
2025-06-09,2025-06-12,4,-1,6.75,-0.6358911913186123
2025-06-23,2025-07-07,11,1,13.272727272727273,-1.2506722448122938
2025-07-09,2025-07-22,10,-1,7.3,-0.7808336607625264
2025-07-23,2025-07-28,4,1,2.0,0.05981673904189615
2025-07-29,2025-07-29,1,-1,1.0,0.11268581306162137
2025-07-30,2025-11-05,71,1,18.492957746478872,-2.7398263892746413
2025-11-06,2025-11-11,4,-1,2.5,0.1370304527016359
2025-11-12,2025-12-08,19,1,11.473684210526315,-2.231411963263891
2025-12-09,2025-12-18,8,-1,12.25,-0.6812096882535739
2025-12-24,2025-12-29,4,-1,2.75,-0.07442674940155167
2025-12-30,2026-01-02,4,1,3.0,-0.18312674998551226
2026-01-05,2026-02-10,27,-1,15.88888888888889,-0.6596159139108922
2026-02-11,2026-03-10,20,1,24.6,-0.3658242390152297
2026-03-13,2026-04-03,16,-1,22.625,-0.06598163164149312
