,baseline_daily_pct,dmom_daily_pct,w_dmom
2003-03-05,-0.725,-0.015935766474112222,0.02198036755049962
2003-03-06,0.775,0.01669234906271007,0.021538514919625894
2003-03-07,-0.675,-0.015037004117379956,0.022277043136859194
2003-03-10,2.075,0.04411753938027183,0.021261464761576785
2003-03-11,0.75,0.01744168262382041,0.023255576831760546
2003-03-12,-0.5552853689137796,-0.01343009729333576,0.024185937619078675
2003-03-13,-5.55,-0.11440012244344949,0.020612634674495405
2003-03-14,-0.15524543836996066,-0.002987328325435808,0.01924261580115995
2003-03-17,-2.8,-0.050367584787040676,0.017988423138228814
2003-03-18,-0.53025472022287,-0.009233441868659858,0.01741321956507803
2003-03-19,0.0,0.0,0.01758578085955301
2003-03-20,0.0,0.0,0.01863525737339414
2003-03-21,0.0,-0.0,-0.0037081383448830155
2003-03-24,0.0,0.0,0.022265697854561426
2003-03-25,0.0,0.0,0.022274233895856775
2003-03-26,0.0,0.0,0.024157488463870853
2003-03-27,0.0,0.0,0.02597342803308554
2003-03-28,0.0,0.0,0.025510746104184245
2003-03-31,0.0,0.0,0.02577987542449344
2003-04-01,0.0,0.0,0.026441783540699513
2003-04-02,0.0,0.0,0.02651586518987048
2003-04-03,0.0,0.0,0.027998236166679118
2003-04-04,0.0,0.0,0.02870416524938796
2003-04-07,0.0,0.0,0.031022225411873862
2003-04-08,0.0,0.0,0.029768132722090494
2003-04-09,0.0,0.0,0.03471135439342794
2003-04-10,0.0,0.0,0.03475051126039572
2003-04-11,0.0,0.0,0.034368483308334204
2003-04-14,0.0,0.0,0.03409568618586628
2003-04-15,0.0,0.0,0.03482559430821686
2003-04-16,0.0,0.0,0.03472007978701653
2003-04-17,0.0,0.0,0.035162473692595446
2003-04-18,0.0,0.0,0.0355008721904589
2003-04-21,0.0,-0.0,-0.008509015824093828
2003-04-22,0.0,0.0,0.03559030371866554
2003-04-23,0.0,0.0,0.036278297262341636
2003-04-24,-0.004555686506326681,-0.00016545671021882122,0.03631872166555891
2003-04-25,-1.125,-0.04039622779506169,0.03590775804005483
2003-04-28,1.5,0.05148419178782912,0.03432279452521941
2003-04-29,0.25,0.009088785441777242,0.03635514176710897
2003-04-30,0.0,0.0,0.036499840875147356
2003-05-01,-0.1,-0.0036404369517300745,0.03640436951730074
2003-05-02,1.25,0.044407198448686784,0.03552575875894943
2003-05-05,-0.125,0.00100650519954039,-0.00805204159632312
2003-05-06,0.85,0.030707722517326966,0.036126732373325844
2003-05-07,-0.525,-0.019344268383636457,0.03684622549264087
2003-05-08,-0.9,-0.032490160933119364,0.03610017881457707
2003-05-09,1.175,0.041272682986899546,0.03512568764842514
2003-05-12,1.2,0.043039617842478,0.035866348202065
2003-05-13,-0.15,-0.005622181814008748,0.037481212093391655
2003-05-14,-0.25,-0.00928376602904189,0.03713506411616756
2003-05-15,0.6,0.022053794177931626,0.03675632362988605
2003-05-16,-0.2016945578537256,-0.007309133380240274,0.03623862467097926
2003-05-19,-2.175,-0.07347185744208606,0.033780164341188995
2003-05-20,-0.325,-0.010892045167512163,0.03351398513080665
2003-05-21,0.27059539268812216,0.008984580021078471,0.033203004425998314
